event_ticker,title,category,series_ticker,event_time
KXTRUMPMENTION-25NOV07,What will Trump say during the America Business Forum?,Mentions,KXTRUMPMENTION,2025-11-05T21:11:28.488701Z
KXTRUMPMENTIONB-25NOV06,What will Trump say during his interview on Fox?,Mentions,KXTRUMPMENTIONB,2025-11-06T01:51:47.503473Z
KXMAMDANIMENTION-25NOV06,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXWTAMATCH-25NOV05RYBALE,Rybakina vs Alexandrova,Sports,KXWTAMATCH,2025-11-05T15:31:02.651018Z
KXNCAAMBTOTAL-25NOV05DSUTEM,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBSPREAD-25NOV05DSUTEM,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBTOTAL-25NOV05UMESUGA,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBSPREAD-25NOV05UMESUGA,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBTOTAL-25NOV05COPPLAS,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBSPREAD-25NOV05COPPLAS,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNBATOTAL-25NOV05PHICLE,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBASPREAD-25NOV05PHICLE,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBATOTAL-25NOV05WASBOS,Washington at Boston: Total Points,Sports,KXNBATOTAL,2025-11-06T03:05:13.149363Z
KXNBASPREAD-25NOV05WASBOS,Washington at Boston: Spread,Sports,KXNBASPREAD,2025-11-06T03:05:17.059625Z
KXNBATOTAL-25NOV05BKNIND,Brooklyn at Indiana: Total Points,Sports,KXNBATOTAL,2025-11-06T02:55:06.754032Z
KXNBATOTAL-25NOV05UTADET,Utah at Detroit: Total Points,Sports,KXNBATOTAL,2025-11-06T02:50:21.691384Z
KXNBASPREAD-25NOV05BKNIND,Brooklyn at Indiana: Spread,Sports,KXNBASPREAD,2025-11-06T02:55:08.052898Z
KXNBASPREAD-25NOV05UTADET,Utah at Detroit: Spread,Sports,KXNBASPREAD,2025-11-06T02:50:20.874607Z
KXNCAAMBTOTAL-25NOV05USIBUT,Southern Indiana at Butler: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.151358Z
KXNCAAMBSPREAD-25NOV05USIBUT,Southern Indiana at Butler: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.458262Z
KXNCAAMBTOTAL-25NOV05RIDRUTG,Rider at Rutgers: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:50:34.542542Z
